rating,summary,review
4,Good quality product,Overall the phone is a good purchase..I want to mention the stuff i like about this phone and something which i dont like or missing in this device...first of all i Start with the good things Pros:*Great battery life*Decent rear camera setup*Great In hand feel*Side mount Fingerprint sensor*Selfie night mode*Good gaming experience*Runs on Android 12Cons:*Missing Wide/ultra wide cameras*Amoled Panel should have been there*Feels bit laggy even in 120 hz refresh rate*Front cam could...READ MORE
5,Terrific,"Very nice performance.Camera quality goodBattery goodPerformance wise overall goodNetwork catching is goodThe only demerit I feel that small heating problem while charging.. it may be due the first time charging.. anyway I am so tensed about that.otherwise overall a good, user-friendly phone at this cost.. it's worthyREAD MORE"
3,Fair,"Touch function is not smooth, Back button is not functioning properly it required more touch force to function.Network coverage is good,Overall look is good.Battery backup is ok.Finger print sensor is fastGood quality back cover .Price range is ok.Adaptive brightness control is very slow.Hands free volume is not good.Main camera avarage.No inbuilt secure folder For apps and files.Battery charging is not fast.Consumed 2.6 gb ram for Android system.Default fonts are too small in d...READ MORE"
4,Pretty good,Overall Nice phone!!Good display and battery backup too 1 day easygoing!Performance is also nice & the camera was superb👌Overall the phone is working properly good quality..The price range is pretty good!!Overall good experience with PhoneIt’s my first time I go with vivo👍Thanks Flipkart&vivoTo providing good quality service ✌️READ MORE
4,Wonderful,Good design and  performance good .. Low light camera is not good ... Back side rainbow colour awesome look.READ MORE
5,Highly recommended,"First of all,thanks to flipkart that provide original phone and their gadget to me.1.This phone is overall very good and give really fast  performance2.Camera is very good and capture very awesome photos3.Battery is 5000 mah that gives long lasting performance4.Charger is only 18 watt but Vivo gives very powerful charger respect to other companies. In only 2 hrs, battery 🔋 becomes fully charged from 0% to 100%5. Display performance is very unique in this phone, according to uses, they w...READ MORE"
5,Super!,Very nice phone. Strong built. I was going on my bike quite fast i have attached this mobile to mobile holder on my bike suddenly speed breaker came and mobile fall down but thanks to cover given with mobile and super built quality of mob nothing happened to phone not even a single scratch on it. Rest perfomance is best except camera i didn't find it 50mp quality.READ MORE
5,Brilliant,As usal phone looks premium with study built quality* Camera performance is average not up-to mark.* Comes with latest android 12 and funtouch os 12.* So battery optimization is good enough* As it's price range it supports only 18w fast charging.* More over it is value for money when you buy with exchange or on card offer.READ MORE
5,Classy product,All function very good I am very happy I love my Flipkart thanks camera is very good photoREAD MORE
5,Worth every penny,"Very good products,I love it 💝💝❤️‍🩹🖤💥✨Good camera 🤳,good phone 📱,mid renge phone, awesome prosser,good phone 🤳 everything is going to be good 😊👍👍👍READ MORE"
5,Just wow!,"Well a perfect buy I would say. Used about 3-4 days now. Battery is good, performance is well at par in segment. Android 12 is good. Light weight phone compared with few others in the segment.In this price range a win win. I will update this review after using for 2-3 months as camera needs to be tested and performance on long term. A problem as many people have already reported about back button, I did faced too. Hope will be fixed in coming updates.Rest if you like to buy a phone un...READ MORE"
5,Classy product,Best phone for this prise all functions is to good and awesome. Nice Touch working. Light weight. Nice picture quality etc. So all are good and best for this range phones 📱READ MORE
5,Just wow!,This phone is very good mobail phone very good job in a Cute Mart right finger and CardREAD MORE
5,Classy product,Phone is good but touch is not running smooth and look is also good camera quality is good battery backup is also good I am giving 4 level because the display is not working wellREAD MORE
